subject_id,model,class_id,class_name,dice,hd95_mm,assd_mm
sub-049,baseline,2,GM,0.770023032899832,1.0,0.4220759156736659
sub-049,baseline,3,WM,0.9273202182438998,1.4142135623730951,0.49326657199615737
sub-049,baseline,4,Ventricles,0.8407621306953953,1.8708286933869707,0.6442824442013477
sub-049,baseline,5,Cerebellum,0.9173701486429988,1.224744871391589,0.5169209939590471
sub-049,baseline,6,dGM,0.8709858683436551,2.1213203435596424,0.7766659711514854
sub-049,baseline,7,Brainstem,0.8602337907500182,2.0615528128088303,0.7135688163046324
sub-049,comparative,1,eCSF,0.8654109886294592,1.118033988749895,0.4951409478267942
sub-049,comparative,2,GM,0.7798657161803714,1.0,0.4267679388174505
sub-049,comparative,3,WM,0.9256553445286294,1.4142135623730951,0.49573435464480087
sub-049,comparative,4,Ventricles,0.8459035693262696,2.0615528128088303,0.6527836792617346
sub-049,comparative,5,Cerebellum,0.906364422850052,1.5,0.5996335002713126
sub-049,comparative,6,dGM,0.8769461394440401,2.0615528128088303,0.7371384327903313
sub-049,comparative,7,Brainstem,0.8651941324239545,2.0,0.6662085895259098
sub-020,baseline,1,eCSF,0.17773579780469434,15.2311459300698,4.980426427210077
sub-020,baseline,2,GM,0.4589093688281911,3.416354765793406,1.0967808236433367
sub-020,baseline,3,WM,0.8647022207679129,4.101300060749054,1.2989696504398454
sub-020,baseline,4,Ventricles,0.7369916921731526,2.6849311394442177,0.843296771778395
sub-020,baseline,5,Cerebellum,0.36378366002712176,9.429168278478883,3.8497102056284858
sub-020,baseline,6,dGM,0.7910259572951786,4.7236768846959105,1.615085350329567
sub-020,baseline,7,Brainstem,0.5334437086092715,5.43341315699144,1.9823516106396393
sub-020,comparative,1,eCSF,0.12251172989116509,15.688559974116613,5.889916141803321
sub-020,comparative,2,GM,0.4790365434640477,3.044425749558293,1.0207320433227178
sub-020,comparative,3,WM,0.8678044151403267,3.416354765793406,1.0788473663505358
sub-020,comparative,4,Ventricles,0.6364164771291382,9.716052467261727,2.182919450558002
sub-020,comparative,5,Cerebellum,0.6050773491076218,4.500383360336551,2.2917106350864622
sub-020,comparative,6,dGM,0.7636438103689546,4.68720006942749,1.670247525048782
sub-020,comparative,7,Brainstem,0.5064029270523668,8.256803947613328,2.5036085259386773
sub-034,baseline,1,eCSF,0.9034994214336378,1.0155999660491943,0.4055369052379121
sub-034,baseline,2,GM,0.7739379414609959,1.0155999660491943,0.45357533038236714
sub-034,baseline,3,WM,0.9195463700781068,1.1354752810162385,0.5033682953470657
sub-034,baseline,4,Ventricles,0.8761283106578935,1.1354752810162385,0.557741769179674
sub-034,baseline,5,Cerebellum,0.9295200151773857,1.0155999660491943,0.4305543352394149
sub-034,baseline,6,dGM,0.8893504509873121,2.154412868898638,0.7265695372540544
sub-034,baseline,7,Brainstem,0.7924562159058283,3.2515063790727874,1.0210124042457767
sub-034,comparative,1,eCSF,0.9023992290060016,1.0155999660491943,0.4241952886998101
sub-034,comparative,2,GM,0.773377122757473,1.1354752810162385,0.4637215855160251
sub-034,comparative,3,WM,0.9114938527508346,1.2438508498042227,0.5482140698338649
sub-034,comparative,4,Ventricles,0.8416225720441469,1.4362752459324255,0.7149896757734773
sub-034,comparative,5,Cerebellum,0.9154669823006414,1.4362752459324255,1.4396521801334479
sub-034,comparative,6,dGM,0.880779331826788,2.2134488095358886,0.7671921098610665
sub-034,comparative,7,Brainstem,0.7896826129502779,3.2909200166383274,1.0161251534333737
sub-039,baseline,1,eCSF,0.8869573776691573,1.0155999660491943,0.4072370306436126
sub-039,baseline,2,GM,0.7834697708165744,0.8795353706812157,0.3945682717346859
sub-039,baseline,3,WM,0.917834617271571,1.1354752810162385,0.49757351516992554
sub-039,baseline,4,Ventricles,0.8547353204116181,1.1354752810162385,0.4971931875502107
sub-039,baseline,5,Cerebellum,0.8799947163331352,1.2438508498042227,0.5996275831088216
sub-039,baseline,6,dGM,0.822523813537891,2.5892820224445057,0.9561716148409996
sub-039,baseline,7,Brainstem,0.6646310798189525,4.062399864196777,1.204151529115717
sub-039,comparative,1,eCSF,0.8926113041132463,1.0155999660491943,0.398799571319863
sub-039,comparative,2,GM,0.7779164838424601,0.8795353706812157,0.4103634261434356
sub-039,comparative,3,WM,0.9075757978536256,1.2438508498042227,0.5513488896792236
sub-039,comparative,4,Ventricles,0.8179737551363054,1.4362752459324255,0.6619860117863259
sub-039,comparative,5,Cerebellum,0.8897804054054054,1.2438508498042227,0.5773714720128001
sub-039,comparative,6,dGM,0.8140307288835977,2.5892820224445057,0.9900986116852919
sub-039,comparative,7,Brainstem,0.6852759588400374,4.062399864196777,1.1116976511353989
sub-025,baseline,1,eCSF,0.2066548620333481,13.259666595483791,4.141712866792042
sub-025,baseline,2,GM,0.4879273858392188,1.9329119514988287,0.6527558704352069
sub-025,baseline,3,WM,0.8663103803611455,1.6902824678526565,0.6951509630703312
sub-025,baseline,4,Ventricles,0.9130108675710386,1.3259666595483792,0.5364167985014346
sub-025,baseline,5,Cerebellum,0.5406306075365291,3.808549271498213,1.9092309645861787
sub-025,baseline,6,dGM,0.8635301968635302,1.75408901396403,0.6704096460013129
sub-025,baseline,7,Brainstem,0.5485241759503847,4.113703377615013,1.4643907428162741
sub-025,comparative,1,eCSF,0.159727474024868,12.932424125429792,4.903977737086682
sub-025,comparative,2,GM,0.4451604928800065,2.096537372808965,0.7134381072887476
sub-025,comparative,3,WM,0.8454710086149194,1.8752000331878662,0.7503334294578983
sub-025,comparative,4,Ventricles,0.8900711439360748,1.6902824678526565,0.7111476995343261
sub-025,comparative,5,Cerebellum,0.6134763051478941,3.66144511286642,1.6724944930002352
sub-025,comparative,6,dGM,0.8585055904904199,2.0434518608975063,0.6890152550433856
sub-025,comparative,7,Brainstem,0.5251670755435243,6.512777857519211,1.9453058747751197
sub-038,baseline,1,eCSF,0.8610847538258282,1.7488562525869984,0.6835759568655416
sub-038,baseline,2,GM,0.7367440900175493,1.4914296234181457,0.540932722772873
sub-038,baseline,3,WM,0.9108838007207646,2.583231883673546,0.764429114708875
sub-038,baseline,4,Ventricles,0.800066889010693,2.416392164824271,0.719615325466879
sub-038,baseline,5,Cerebellum,0.9166211683956009,1.291615941836773,0.5278820867331855
sub-038,baseline,6,dGM,0.8384308422490023,2.7399311734842944,0.9761616172924049
sub-038,baseline,7,Brainstem,0.7894569347984799,4.118344655595266,1.114877560531735
sub-038,comparative,1,eCSF,0.8781463026391386,1.5819000005722046,0.6455804971760788
sub-038,comparative,2,GM,0.7511843998455894,1.291615941836773,0.5369993231921036
sub-038,comparative,3,WM,0.9152044999051523,2.1741135971746126,0.7021113472837078
sub-038,comparative,4,Ventricles,0.7587879167122945,3.9459518815191275,0.9360403274374711
sub-038,comparative,5,Cerebellum,0.9001869158878505,1.5819000005722046,0.6442050775895264
sub-038,comparative,6,dGM,0.8360104498072993,2.6365000009536743,0.9965707758535638
sub-038,comparative,7,Brainstem,0.8437021872643035,2.8395974038291625,0.7805888307752911
sub-017,baseline,1,eCSF,0.17522842146189735,6.307158187170953,1.997174361057579
sub-017,baseline,2,GM,0.3475928093315624,3.6687165585927204,1.1643418523747366
sub-017,baseline,3,WM,0.827001811019738,3.235503881607021,1.039317114194857
sub-017,baseline,4,Ventricles,0.8244742811599534,1.2229055195309069,0.5276294949506887
sub-017,baseline,5,Cerebellum,0.3941245990207665,5.496276719373123,2.747093390906348
sub-017,baseline,6,dGM,0.780021479741771,3.326662671773885,1.183928240168968
sub-017,baseline,7,Brainstem,0.1225547350693095,12.27787397303275,5.843850232585641
sub-017,comparative,1,eCSF,0.22977211807168055,6.742635720165697,1.9360305924985817
sub-017,comparative,2,GM,0.3945557804034206,2.9451464948717088,0.9447741500564719
sub-017,comparative,3,WM,0.8492314275998304,2.679251754978609,0.8814551674146984
sub-017,comparative,4,Ventricles,0.7813622699611409,2.25492636087681,0.7794251060330263
sub-017,comparative,5,Cerebellum,0.517562596416281,4.409248555716614,2.1712498212119744
sub-017,comparative,6,dGM,0.7899318277707459,2.7344998717308044,1.0769665785445792
sub-017,comparative,7,Brainstem,0.14084867075664623,8.902886566392684,3.8214317375414857
